,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
95594,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95595,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95596,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95597,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95606,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95620,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95652,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95653,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95654,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
95662,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95675,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
95699,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
95700,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
